56,70,1495,11737,5548,Inf,7,0,0,0,1.0495
56,75,1495,11737,5549,Inf,7,0,0,0,1.0495
56,82,1495,11737,21392,Inf,3,0,0,0,0.425
56,83,1495,11737,7164,Inf,13,0,0,0,0.50764
56,87,1495,11737,6365,Inf,4,0,0,0,1.5978
56,157,1495,11737,11803,Inf,6,0,0,0,0.6125
56,170,1495,11737,6365,Inf,4,0,0,0,1.5978
56,172,1495,11737,11724,Inf,7,0,0,0,0.585
56,177,1495,11737,773,Inf,9,0,0,1,0.75741
56,178,1495,11737,834,Inf,6,0,0,0,0.6125
56,216,1495,11737,3695,Inf,5,0,0,0,1.9995
56,291,1495,11737,7763,Inf,3,0,0,0,0.425
56,293,1495,11737,840,Inf,10,0,0,0,1.0263
56,296,1495,11737,10155,Inf,6,0,0,0,1.4549
56,304,1495,11737,2543,Inf,7,0,0,1,0.72953
56,339,1495,11737,10258,Inf,5,0,0,1,1.0423
56,343,1495,11737,840,Inf,10,0,0,0,1.0263
56,344,1495,11737,840,Inf,10,0,0,0,1.0263
56,375,1495,11737,840,Inf,10,0,0,0,1.0263
56,379,1495,11737,3695,Inf,5,0,0,0,1.9995
56,385,1495,11737,1468,2,8,0,0,1,1
56,389,1495,11737,1468,2,8,0,0,1,1
56,390,1495,11737,1468,2,8,0,0,1,1
70,75,1495,5548,5549,1,8,0,0,0,0.4
70,82,1495,5548,21392,Inf,4,0,0,0,0.62449
70,83,1495,5548,7164,Inf,14,0,0,0,0.70713
70,87,1495,5548,6365,Inf,5,0,0,0,1.7973
70,157,1495,5548,11803,Inf,7,0,0,0,0.81199
70,170,1495,5548,6365,Inf,5,0,0,0,1.7973
70,172,1495,5548,11724,Inf,8,0,0,0,0.78449
70,177,1495,5548,773,Inf,10,0,0,1,0.9569
70,178,1495,5548,834,Inf,7,0,0,0,0.81199
70,216,1495,5548,3695,Inf,6,0,0,0,2.199
70,291,1495,5548,7763,Inf,4,0,0,0,0.62449
70,293,1495,5548,840,Inf,11,0,0,0,1.2258
70,296,1495,5548,10155,Inf,7,0,0,0,1.6544
70,304,1495,5548,2543,Inf,8,0,0,1,0.92902
70,339,1495,5548,10258,Inf,6,0,0,1,1.2418
70,343,1495,5548,840,Inf,11,0,0,0,1.2258
70,344,1495,5548,840,Inf,11,0,0,0,1.2258
70,375,1495,5548,840,Inf,11,0,0,0,1.2258
70,379,1495,5548,3695,Inf,6,0,0,0,2.199
70,385,1495,5548,1468,Inf,9,0,0,1,0.89949
70,389,1495,5548,1468,Inf,9,0,0,1,0.89949
70,390,1495,5548,1468,Inf,9,0,0,1,0.89949
75,82,1495,5549,21392,Inf,4,0,0,0,0.62449
75,83,1495,5549,7164,Inf,14,0,0,0,0.70713
75,87,1495,5549,6365,Inf,5,0,0,0,1.7973
75,157,1495,5549,11803,Inf,7,0,0,0,0.81199
75,170,1495,5549,6365,Inf,5,0,0,0,1.7973
75,172,1495,5549,11724,Inf,8,0,0,0,0.78449
75,177,1495,5549,773,Inf,10,0,0,1,0.9569
75,178,1495,5549,834,Inf,7,0,0,0,0.81199
75,216,1495,5549,3695,Inf,6,0,0,0,2.199
75,291,1495,5549,7763,Inf,4,0,0,0,0.62449
75,293,1495,5549,840,Inf,11,0,0,0,1.2258
75,296,1495,5549,10155,Inf,7,0,0,0,1.6544
75,304,1495,5549,2543,Inf,8,0,0,1,0.92902
75,339,1495,5549,10258,Inf,6,0,0,1,1.2418
75,343,1495,5549,840,Inf,11,0,0,0,1.2258
75,344,1495,5549,840,Inf,11,0,0,0,1.2258
